,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
82,Sr4 Mn4 Cr4 C24 N24,Sr4 Mn4 Cr4 C24 N24,0.005491380000000046,Sr,Cr,Mn,4.0
83,Mg4 Mn4 Fe4 C24 N24,Mg4 Mn4 Fe4 C24 N24,0.03918191000000015,Mg,Mn,Fe,4.0
84,Li4 Mn8 C24 N24,Li4 Mn8 C24 N24,0.0028601699999999397,Li,Mn,Mn,4.0
85,Ca4 Cr4 Co4 C24 N24,Ca4 Cr4 Co4 C24 N24,0.4185173499999999,Ca,Co,Cr,4.0
86,,,,,,,
87,,,,,,,
88,Ca4 Cr4 Ni4 C24 N24,Ca4 Cr4 Ni4 C24 N24,0.4185173499999999,Ca,Ni,Cr,4.0
89,Mg4 Mn4 V4 C24 N24,Mg4 Mn4 V4 C24 N24,0.03918191000000015,Mg,Mn,V,4.0
90,Na4 Cr4 Fe4 C24 N24,Na4 Cr4 Fe4 C24 N24,0.12850119249999992,Na,Cr,Fe,4.0
91,K4 Fe4 Co4 C24 N24,K4 Fe4 Co4 C24 N24,0.11553698000000001,K,Co,Fe,4.0
92,,,,,,,
93,Li4 V4 Os4 C24 N24,Li4 V4 Os4 C24 N24,0.0028601699999999397,Li,V,Os,4.0
94,K4 Cr4 Fe4 C24 N24,K4 Cr4 Fe4 C24 N24,0.11553698000000001,K,Fe,Cr,4.0
95,,,,,,,
96,Mg4 V4 Co4 C24 N24,Mg4 V4 Co4 C24 N24,0.03918191000000015,Mg,V,Co,4.0
97,Li4 Mn4 Co4 C24 N24,Li4 Mn4 Co4 C24 N24,0.0028601699999999397,Li,Co,Mn,4.0
98,Li4 V4 In4 C24 N24,Li4 V4 In4 C24 N24,0.0028601699999999397,Li,In,V,4.0
99,K4 Zn4 Fe4 C24 N24,K4 Zn4 Fe4 C24 N24,0.11553698000000001,K,Zn,Fe,4.0
100,,,,,,,
101,K4 V4 Zn4 C24 N24,K4 V4 Zn4 C24 N24,0.11553698000000001,K,Zn,V,4.0
102,Mg4 Zn4 Cr4 C24 N24,Mg4 Zn4 Cr4 C24 N24,0.03918191000000015,Mg,Zn,Cr,4.0
103,,,,,,,
104,Li2 Zn4 Co4 C24 N24,Li2 Zn4 Co4 C24 N24,0.0028601699999999397,Li,Zn,Co,2.0
105,Mg2 Cr4 Os4 C24 N24,Mg2 Cr4 Os4 C24 N24,0.03918191000000015,Mg,Cr,Os,2.0
106,Sr2 Fe4 Co4 C24 N24,Sr2 Fe4 Co4 C24 N24,0.005491380000000046,Sr,Co,Fe,2.0
107,Mg2 V4 Co4 C24 N24,Mg2 V4 Co4 C24 N24,0.03918191000000015,Mg,Co,V,2.0
108,Na2 Mn8 C24 N24,Na2 Mn8 C24 N24,0.12850119249999992,Na,Mn,Mn,2.0
109,Li2 Mn4 Ni4 C24 N24,Li2 Mn4 Ni4 C24 N24,0.0028601699999999397,Li,Ni,Mn,2.0
110,Li2 Mn4 Cr4 C24 N24,Li2 Mn4 Cr4 C24 N24,0.0028601699999999397,Li,Mn,Cr,2.0
111,Sr2 Co4 Os4 C24 N24,Sr2 Co4 Os4 C24 N24,0.005491380000000046,Sr,Co,Os,2.0
112,K2 Mn4 V4 C24 N24,K2 Mn4 V4 C24 N24,0.11553698000000001,K,Mn,V,2.0
113,K2 Cr4 Fe4 C24 N24,K2 Cr4 Fe4 C24 N24,0.11553698000000001,K,Fe,Cr,2.0
114,Na2 Mn4 V4 C24 N24,Na2 Mn4 V4 C24 N24,0.12850119249999992,Na,Mn,V,2.0
115,Mg2 Mn4 Co4 C24 N24,Mg2 Mn4 Co4 C24 N24,0.03918191000000015,Mg,Mn,Co,2.0
116,Ca2 Mn4 Os4 C24 N24,Ca2 Mn4 Os4 C24 N24,0.1918088271882734,Ca,Mn,Os,2.0
117,Li2 Zn4 Os4 C24 N24,Li2 Zn4 Os4 C24 N24,0.0028601699999999397,Li,Zn,Os,2.0
118,Li2 Co4 Cu4 C24 N24,Li2 Co4 Cu4 C24 N24,0.0028601699999999397,Li,Cu,Co,2.0
119,K2 Mn8 C24 N24,K2 Mn8 C24 N24,0.11553698000000001,K,Mn,Mn,2.0
120,Mg2 V8 C24 N24,Mg2 V8 C24 N24,0.03918191000000015,Mg,V,V,2.0
121,Sr2 Cr4 Ni4 C24 N24,Sr2 Cr4 Ni4 C24 N24,0.005491380000000046,Sr,Ni,Cr,2.0
122,K2 Fe4 Os4 C24 N24,K2 Fe4 Os4 C24 N24,0.11553698000000001,K,Fe,Os,2.0
123,Sr2 V4 Cr4 C24 N24,Sr2 V4 Cr4 C24 N24,0.005491380000000046,Sr,V,Cr,2.0
