,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
149,Mg2 V4 Cr4 C24 N24,Mg2 V4 Cr4 C24 N24,0.4536617126397697,Mg,Cr,V,2.0
150,Mg2 V4 Cr4 C24 N24,Mg2 V4 Cr4 C24 N24,0.4185599288466655,Mg,V,Cr,2.0
151,Na2 V4 Fe4 C24 N24,Na2 V4 Fe4 C24 N24,0.3850135237563226,Na,Fe,V,2.0
152,K2 Mn4 Zn4 C24 N24,K2 Mn4 Zn4 C24 N24,0.32911054386298666,K,Zn,Mn,2.0
153,Ca2 Cr4 Co4 C24 N24,Ca2 Cr4 Co4 C24 N24,0.3823237291462061,Ca,Co,Cr,2.0
154,Sr2 V4 Cr4 C24 N24,Sr2 V4 Cr4 C24 N24,0.35006211712252977,Sr,Cr,V,2.0
155,Sr2 Mn4 Cr4 C24 N24,Sr2 Mn4 Cr4 C24 N24,0.2958455555708053,Sr,Mn,Cr,2.0
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,Li2 Fe4 Co4 C24 N24,Li2 Fe4 Co4 C24 N24,0.2253093103306867,Li,Fe,Co,2.0
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,K2 V4 Cr4 C24 N24,K2 V4 Cr4 C24 N24,0.30129373154367656,K,Cr,V,2.0
165,Na2 V4 Co4 C24 N24,Na2 V4 Co4 C24 N24,0.4142873306528738,Na,Co,V,2.0
166,,,,,,,
167,Sr2 Mn4 Cr4 C24 N24,Sr2 Mn4 Cr4 C24 N24,0.22082712488115064,Sr,Cr,Mn,2.0
168,,,,,,,
169,Li2 Cr8 C24 N24,Li2 Cr8 C24 N24,0.26763373015827696,Li,Cr,Cr,2.0
170,K2 Fe8 C24 N24,K2 Fe8 C24 N24,0.20576344464712906,K,Fe,Fe,2.0
171,K2 Mn4 Fe4 C24 N24,K2 Mn4 Fe4 C24 N24,0.1600846386126431,K,Mn,Fe,2.0
172,K2 Co4 Os4 C24 N24,K2 Co4 Os4 C24 N24,0.1437073406898861,K,Co,Os,2.0
173,,,,,,,
174,Li2 Mn4 Co4 C24 N24,Li2 Mn4 Co4 C24 N24,0.2358819968824104,Li,Mn,Co,2.0
175,Li2 Mn4 Fe4 C24 N24,Li2 Mn4 Fe4 C24 N24,0.20833847808930628,Li,Mn,Fe,2.0
176,Sr2 V4 Co4 C24 N24,Sr2 V4 Co4 C24 N24,0.43933751643287344,Sr,Co,V,2.0
177,Ca2 Cr4 Fe4 C24 N24,Ca2 Cr4 Fe4 C24 N24,0.20555469499609025,Ca,Cr,Fe,2.0
178,,,,,,,
179,Mg2 Mn4 V4 C24 N24,Mg2 Mn4 V4 C24 N24,0.3579224265970105,Mg,V,Mn,2.0
180,Li2 Cr4 Os4 C24 N24,Li2 Cr4 Os4 C24 N24,0.10273790413206464,Li,Cr,Os,2.0
181,K2 Mn4 Os4 C24 N24,K2 Mn4 Os4 C24 N24,0.08228765413816141,K,Mn,Os,2.0
182,Ca2 V4 Cr4 C24 N24,Ca2 V4 Cr4 C24 N24,0.3994392074098858,Ca,Cr,V,2.0
183,,Ca2 Mn4 Zn4 C24 N24,0.40711693490160883,Ca,Zn,Mn,2.0
184,,,,,,,
185,,,,,,,
186,Mg2 Mn4 Os4 C24 N24,Mg2 Mn4 Os4 C24 N24,0.2321098331652873,Mg,Mn,Os,2.0
187,Sr2 V8 C24 N24,Sr2 V8 C24 N24,0.4170778676397706,Sr,V,V,2.0
188,Sr2 Fe4 Co4 C24 N24,Sr2 Fe4 Co4 C24 N24,0.20842404574321804,Sr,Fe,Co,2.0
189,Na2 Mn4 Fe4 C24 N24,Na2 Mn4 Fe4 C24 N24,0.18378237789425167,Na,Mn,Fe,2.0
190,,,,,,,
191,,K2 V4 Cr4 C24 N24,0.2541653624057467,K,V,Cr,2.0
192,Mg2 Fe4 Co4 C24 N24,Mg2 Fe4 Co4 C24 N24,0.3570524940190793,Mg,Co,Fe,2.0
193,Mg2 Fe8 C24 N24,Mg2 Fe8 C24 N24,0.3476269014328732,Mg,Fe,Fe,2.0
194,Na2 Zn4 Co4 C24 N24,Na2 Zn4 Co4 C24 N24,0.3031470229721833,Na,Zn,Co,2.0
195,Ca2 Cr4 Os4 C24 N24,Ca2 Cr4 Os4 C24 N24,0.13642798207333404,Ca,Cr,Os,2.0
196,Sr2 Zn4 Os4 C24 N24,Sr2 Zn4 Os4 C24 N24,0.2774111099673551,Sr,Zn,Os,2.0
197,Na2 Cr4 Fe4 C24 N24,Na2 Cr4 Fe4 C24 N24,0.15466698858390693,Na,Cr,Fe,2.0
198,Sr2 V4 Fe4 C24 N24,Sr2 V4 Fe4 C24 N24,0.4017809916052872,Sr,Fe,V,2.0
199,Na2 Mn4 Co4 C24 N24,Na2 Mn4 Co4 C24 N24,0.3069566009977009,Na,Co,Mn,2.0
200,,,,,,,
201,Mg2 Mn4 Zn4 C24 N24,Mg2 Mn4 Zn4 C24 N24,0.4810659882349437,Mg,Zn,Mn,2.0
202,,,,,,,
203,,,,,,,
204,Ca2 Fe4 Co4 C24 N24,Ca2 Fe4 Co4 C24 N24,0.2537019562029883,Ca,Fe,Co,2.0
205,Li2 Fe8 C24 N24,Li2 Fe8 C24 N24,0.25528163033069085,Li,Fe,Fe,2.0
206,K2 V4 Co4 C24 N24,K2 V4 Co4 C24 N24,0.3879635627505742,K,Co,V,2.0
207,K2 Cr4 Fe4 C24 N24,K2 Cr4 Fe4 C24 N24,0.13055525757816078,K,Cr,Fe,2.0
208,Na2 V4 Fe4 C24 N24,Na2 V4 Fe4 C24 N24,0.20460153237701206,Na,V,Fe,2.0
209,Sr2 Mn4 Co4 C24 N24,Sr2 Mn4 Co4 C24 N24,0.2458501778121853,Sr,Mn,Co,2.0
210,K2 Fe4 Co4 C24 N24,K2 Fe4 Co4 C24 N24,0.17784943499195371,K,Fe,Co,2.0
211,,,,,,,
212,Li2 V4 Fe4 C24 N24,Li2 V4 Fe4 C24 N24,0.20548492477034586,Li,V,Fe,2.0
213,Mg2 Mn4 V4 C24 N24,Mg2 Mn4 V4 C24 N24,0.484042784881149,Mg,Mn,V,2.0
214,K2 V4 Co4 C24 N24,K2 V4 Co4 C24 N24,0.1819866136126436,K,V,Co,2.0
215,,Ca2 Mn4 V4 C24 N24,0.4346847348236782,Ca,Mn,V,2.0
216,,,,,,,
